cohort_month,activity_month,cohort_size,customers_active,month_0_active_customers,retained_month_0_customers,late_activation_customers,month_0_activation_rate,signup_activity_rate,retained_from_month_0_rate,cohort_revenue,average_revenue_per_active_customer
2023-01-01,2023-01-01,126,67,67,67,0,0.531746,0.531746,1.0,65387.41,975.93
2023-01-01,2023-02-01,126,68,67,35,33,0.531746,0.539683,0.522388,94943.6,1396.23
2023-01-01,2023-03-01,126,48,67,25,23,0.531746,0.380952,0.373134,69763.8,1453.41
2023-01-01,2023-04-01,126,48,67,26,22,0.531746,0.380952,0.38806,71892.4,1497.76
2023-01-01,2023-05-01,126,47,67,22,25,0.531746,0.373016,0.328358,61741.63,1313.65
2023-01-01,2023-06-01,126,37,67,24,13,0.531746,0.293651,0.358209,43923.78,1187.13
2023-01-01,2023-07-01,126,38,67,26,12,0.531746,0.301587,0.38806,82660.49,2175.28
2023-01-01,2023-08-01,126,38,67,23,15,0.531746,0.301587,0.343284,57521.09,1513.71
2023-01-01,2023-09-01,126,35,67,24,11,0.531746,0.277778,0.358209,37119.55,1060.56
2023-01-01,2023-10-01,126,30,67,19,11,0.531746,0.238095,0.283582,27706.4,923.55
2023-01-01,2023-11-01,126,33,67,22,11,0.531746,0.261905,0.328358,38158.15,1156.31
2023-01-01,2023-12-01,126,29,67,18,11,0.531746,0.230159,0.268657,33103.42,1141.5
2023-01-01,2024-01-01,126,32,67,23,9,0.531746,0.253968,0.343284,41968.63,1311.52
2023-01-01,2024-02-01,126,25,67,15,10,0.531746,0.198413,0.223881,17002.71,680.11
2023-01-01,2024-03-01,126,24,67,15,9,0.531746,0.190476,0.223881,30160.61,1256.69
2023-01-01,2024-04-01,126,27,67,18,9,0.531746,0.214286,0.268657,42193.68,1562.73
2023-01-01,2024-05-01,126,24,67,19,5,0.531746,0.190476,0.283582,29087.69,1211.99
2023-01-01,2024-06-01,126,21,67,16,5,0.531746,0.166667,0.238806,22540.42,1073.35
2023-01-01,2024-07-01,126,17,67,12,5,0.531746,0.134921,0.179104,9772.06,574.83
2023-01-01,2024-08-01,126,17,67,14,3,0.531746,0.134921,0.208955,15718.16,924.6
2023-01-01,2024-09-01,126,18,67,11,7,0.531746,0.142857,0.164179,14114.88,784.16
2023-01-01,2024-10-01,126,18,67,15,3,0.531746,0.142857,0.223881,16582.5,921.25
2023-01-01,2024-11-01,126,14,67,11,3,0.531746,0.111111,0.164179,22526.27,1609.02
2023-01-01,2024-12-01,126,13,67,10,3,0.531746,0.103175,0.149254,8426.38,648.18
2023-01-01,2025-01-01,126,13,67,10,3,0.531746,0.103175,0.149254,9020.9,693.92
2023-01-01,2025-02-01,126,12,67,9,3,0.531746,0.095238,0.134328,9265.69,772.14
2023-01-01,2025-03-01,126,14,67,11,3,0.531746,0.111111,0.164179,15700.14,1121.44
2023-01-01,2025-04-01,126,10,67,6,4,0.531746,0.079365,0.089552,13613.73,1361.37
2023-01-01,2025-05-01,126,14,67,11,3,0.531746,0.111111,0.164179,14743.95,1053.14
2023-01-01,2025-06-01,126,12,67,9,3,0.531746,0.095238,0.134328,14691.21,1224.27
2023-01-01,2025-07-01,126,9,67,7,2,0.531746,0.071429,0.104478,6445.27,716.14
2023-01-01,2025-08-01,126,9,67,7,2,0.531746,0.071429,0.104478,12322.29,1369.14
2023-01-01,2025-09-01,126,9,67,6,3,0.531746,0.071429,0.089552,6513.95,723.77
2023-01-01,2025-10-01,126,10,67,7,3,0.531746,0.079365,0.104478,7071.67,707.17
2023-01-01,2025-11-01,126,6,67,4,2,0.531746,0.047619,0.059701,5853.48,975.58
2023-01-01,2025-12-01,126,8,67,8,0,0.531746,0.063492,0.119403,15083.39,1885.42
2023-02-01,2023-02-01,125,57,57,57,0,0.456,0.456,1.0,65511.11,1149.32
2023-02-01,2023-03-01,125,55,57,28,27,0.456,0.44,0.491228,66742.22,1213.49
2023-02-01,2023-04-01,125,58,57,24,34,0.456,0.464,0.421053,42360.36,730.35
2023-02-01,2023-05-01,125,56,57,28,28,0.456,0.448,0.491228,86224.28,1539.72
2023-02-01,2023-06-01,125,52,57,24,28,0.456,0.416,0.421053,70715.46,1359.91
2023-02-01,2023-07-01,125,40,57,20,20,0.456,0.32,0.350877,81885.76,2047.14
2023-02-01,2023-08-01,125,45,57,24,21,0.456,0.36,0.421053,61397.52,1364.39
2023-02-01,2023-09-01,125,33,57,16,17,0.456,0.264,0.280702,74418.13,2255.09
2023-02-01,2023-10-01,125,33,57,14,19,0.456,0.264,0.245614,49370.18,1496.07
2023-02-01,2023-11-01,125,31,57,13,18,0.456,0.248,0.22807,80193.36,2586.88
2023-02-01,2023-12-01,125,28,57,13,15,0.456,0.224,0.22807,53073.19,1895.47
2023-02-01,2024-01-01,125,29,57,11,18,0.456,0.232,0.192982,34410.91,1186.58
2023-02-01,2024-02-01,125,26,57,13,13,0.456,0.208,0.22807,42696.99,1642.19
2023-02-01,2024-03-01,125,24,57,8,16,0.456,0.192,0.140351,31723.58,1321.82
2023-02-01,2024-04-01,125,24,57,9,15,0.456,0.192,0.157895,51071.88,2128.0
2023-02-01,2024-05-01,125,28,57,9,19,0.456,0.224,0.157895,60188.13,2149.58
2023-02-01,2024-06-01,125,16,57,3,13,0.456,0.128,0.052632,26038.49,1627.41
2023-02-01,2024-07-01,125,23,57,8,15,0.456,0.184,0.140351,36169.67,1572.59
2023-02-01,2024-08-01,125,21,57,9,12,0.456,0.168,0.157895,33816.02,1610.29
2023-02-01,2024-09-01,125,12,57,4,8,0.456,0.096,0.070175,40562.92,3380.24
2023-02-01,2024-10-01,125,17,57,6,11,0.456,0.136,0.105263,34411.18,2024.19
2023-02-01,2024-11-01,125,16,57,5,11,0.456,0.128,0.087719,30384.9,1899.06
2023-02-01,2024-12-01,125,17,57,5,12,0.456,0.136,0.087719,21833.71,1284.34
2023-02-01,2025-01-01,125,15,57,5,10,0.456,0.12,0.087719,29568.79,1971.25
2023-02-01,2025-02-01,125,13,57,4,9,0.456,0.104,0.070175,7019.24,539.94
2023-02-01,2025-03-01,125,10,57,4,6,0.456,0.08,0.070175,25843.13,2584.31
2023-02-01,2025-04-01,125,14,57,5,9,0.456,0.112,0.087719,22386.73,1599.05
2023-02-01,2025-05-01,125,11,57,5,6,0.456,0.088,0.087719,10529.78,957.25
2023-02-01,2025-06-01,125,10,57,4,6,0.456,0.08,0.070175,17161.3,1716.13
2023-02-01,2025-07-01,125,14,57,5,9,0.456,0.112,0.087719,18444.35,1317.45
2023-02-01,2025-08-01,125,9,57,1,8,0.456,0.072,0.017544,22033.34,2448.15
2023-02-01,2025-09-01,125,9,57,1,8,0.456,0.072,0.017544,7427.27,825.25
2023-02-01,2025-10-01,125,10,57,1,9,0.456,0.08,0.017544,15084.81,1508.48
2023-02-01,2025-11-01,125,8,57,3,5,0.456,0.064,0.052632,7325.7,915.71
2023-02-01,2025-12-01,125,6,57,2,4,0.456,0.048,0.035088,3703.66,617.28
2023-03-01,2023-03-01,161,90,90,90,0,0.559006,0.559006,1.0,96766.25,1075.18
2023-03-01,2023-04-01,161,85,90,50,35,0.559006,0.52795,0.555556,119269.99,1403.18
2023-03-01,2023-05-01,161,77,90,44,33,0.559006,0.478261,0.488889,79650.19,1034.42
2023-03-01,2023-06-01,161,69,90,45,24,0.559006,0.428571,0.5,88079.86,1276.52
2023-03-01,2023-07-01,161,67,90,38,29,0.559006,0.416149,0.422222,98207.4,1465.78
2023-03-01,2023-08-01,161,67,90,40,27,0.559006,0.416149,0.444444,74052.4,1105.26
2023-03-01,2023-09-01,161,56,90,35,21,0.559006,0.347826,0.388889,66410.47,1185.9
2023-03-01,2023-10-01,161,53,90,32,21,0.559006,0.329193,0.355556,95687.6,1805.43
2023-03-01,2023-11-01,161,42,90,26,16,0.559006,0.26087,0.288889,48460.45,1153.82
2023-03-01,2023-12-01,161,36,90,24,12,0.559006,0.223602,0.266667,40925.39,1136.82
2023-03-01,2024-01-01,161,45,90,30,15,0.559006,0.279503,0.333333,39510.88,878.02
2023-03-01,2024-02-01,161,32,90,18,14,0.559006,0.198758,0.2,60227.92,1882.12
2023-03-01,2024-03-01,161,43,90,23,20,0.559006,0.267081,0.255556,54918.83,1277.18
2023-03-01,2024-04-01,161,36,90,24,12,0.559006,0.223602,0.266667,52696.94,1463.8
2023-03-01,2024-05-01,161,31,90,17,14,0.559006,0.192547,0.188889,47865.83,1544.06
2023-03-01,2024-06-01,161,24,90,17,7,0.559006,0.149068,0.188889,20513.85,854.74
2023-03-01,2024-07-01,161,27,90,15,12,0.559006,0.167702,0.166667,59274.02,2195.33
2023-03-01,2024-08-01,161,23,90,14,9,0.559006,0.142857,0.155556,40503.28,1761.01
2023-03-01,2024-09-01,161,17,90,13,4,0.559006,0.10559,0.144444,31505.85,1853.29
2023-03-01,2024-10-01,161,23,90,14,9,0.559006,0.142857,0.155556,15499.32,673.88
2023-03-01,2024-11-01,161,16,90,10,6,0.559006,0.099379,0.111111,29251.51,1828.22
2023-03-01,2024-12-01,161,17,90,11,6,0.559006,0.10559,0.122222,22921.81,1348.34
2023-03-01,2025-01-01,161,15,90,9,6,0.559006,0.093168,0.1,26581.23,1772.08
2023-03-01,2025-02-01,161,19,90,16,3,0.559006,0.118012,0.177778,51419.63,2706.3
2023-03-01,2025-03-01,161,19,90,16,3,0.559006,0.118012,0.177778,21215.59,1116.61
2023-03-01,2025-04-01,161,17,90,9,8,0.559006,0.10559,0.1,32715.5,1924.44
2023-03-01,2025-05-01,161,18,90,13,5,0.559006,0.111801,0.144444,31145.65,1730.31
2023-03-01,2025-06-01,161,13,90,9,4,0.559006,0.080745,0.1,18305.72,1408.13
2023-03-01,2025-07-01,161,12,90,6,6,0.559006,0.074534,0.066667,13352.63,1112.72
2023-03-01,2025-08-01,161,15,90,12,3,0.559006,0.093168,0.133333,19903.68,1326.91
2023-03-01,2025-09-01,161,16,90,11,5,0.559006,0.099379,0.122222,16694.44,1043.4
2023-03-01,2025-10-01,161,14,90,10,4,0.559006,0.086957,0.111111,22393.84,1599.56
2023-03-01,2025-11-01,161,13,90,9,4,0.559006,0.080745,0.1,18129.28,1394.56
2023-03-01,2025-12-01,161,14,90,10,4,0.559006,0.086957,0.111111,17589.67,1256.4
2023-04-01,2023-04-01,155,74,74,74,0,0.477419,0.477419,1.0,122192.6,1651.25
2023-04-01,2023-05-01,155,78,74,43,35,0.477419,0.503226,0.581081,96125.0,1232.37
2023-04-01,2023-06-01,155,77,74,40,37,0.477419,0.496774,0.540541,110735.48,1438.12
2023-04-01,2023-07-01,155,67,74,38,29,0.477419,0.432258,0.513514,76847.77,1146.98
2023-04-01,2023-08-01,155,59,74,29,30,0.477419,0.380645,0.391892,59153.84,1002.61
2023-04-01,2023-09-01,155,62,74,38,24,0.477419,0.4,0.513514,87984.71,1419.11
2023-04-01,2023-10-01,155,55,74,32,23,0.477419,0.354839,0.432432,95536.06,1737.02
2023-04-01,2023-11-01,155,45,74,26,19,0.477419,0.290323,0.351351,66729.78,1482.88
2023-04-01,2023-12-01,155,49,74,31,18,0.477419,0.316129,0.418919,69351.95,1415.35
2023-04-01,2024-01-01,155,34,74,18,16,0.477419,0.219355,0.243243,33450.34,983.83
2023-04-01,2024-02-01,155,43,74,26,17,0.477419,0.277419,0.351351,68717.89,1598.09
2023-04-01,2024-03-01,155,27,74,17,10,0.477419,0.174194,0.22973,18374.27,680.53
2023-04-01,2024-04-01,155,31,74,18,13,0.477419,0.2,0.243243,27634.72,891.44
2023-04-01,2024-05-01,155,24,74,12,12,0.477419,0.154839,0.162162,13888.16,578.67
2023-04-01,2024-06-01,155,25,74,18,7,0.477419,0.16129,0.243243,43619.23,1744.77
2023-04-01,2024-07-01,155,24,74,14,10,0.477419,0.154839,0.189189,28423.17,1184.3
2023-04-01,2024-08-01,155,25,74,19,6,0.477419,0.16129,0.256757,49534.0,1981.36
2023-04-01,2024-09-01,155,21,74,13,8,0.477419,0.135484,0.175676,36553.26,1740.63
