customer_id,segment,region,acquisition_channel,first_transaction_date,last_transaction_date,transaction_span_days,total_revenue,total_cost,contribution_margin,contribution_margin_pct,transaction_count,avg_revenue_per_transaction,revenue_per_transaction_span_day
C0000015,Startup,LATAM,email,2024-10-21,2025-03-01,132,5568.06,4176.68,1391.38,0.249886,5,1113.61,42.18
C0000022,Mid-Market,APAC,email,2024-08-04,2025-12-29,513,10963.29,6892.8,4070.49,0.371284,20,548.16,21.37
C0000049,Mid-Market,APAC,email,2025-06-18,2025-10-05,110,6317.24,4435.59,1881.65,0.29786,4,1579.31,57.43
C0000058,SMB,North America,email,2025-02-28,2025-11-01,247,2246.86,1418.5,828.36,0.368675,10,224.69,9.1
C0000100,SMB,North America,email,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
C0000111,Mid-Market,APAC,email,2024-11-27,2025-12-12,381,3447.78,1861.96,1585.82,0.459954,10,344.78,9.05
C0000122,SMB,LATAM,email,2025-05-17,2025-11-19,187,9669.01,6338.74,3330.27,0.344427,9,1074.33,51.71
C0000126,SMB,EMEA,email,2024-12-16,2025-09-12,271,5250.64,3244.92,2005.72,0.381995,13,403.9,19.38
C0000154,SMB,North America,email,2025-03-28,2025-12-28,276,4780.44,3271.2,1509.24,0.315712,12,398.37,17.32
C0000176,Startup,EMEA,email,2023-03-31,2023-04-23,24,151.02,76.07,74.95,0.496292,2,75.51,6.29
C0000184,Mid-Market,APAC,email,2024-05-21,2025-12-27,586,14791.07,8522.46,6268.61,0.42381,18,821.73,25.24
C0000186,Startup,APAC,email,2025-05-19,2025-12-17,213,786.94,453.12,333.82,0.4242,5,157.39,3.69
C0000202,SMB,LATAM,email,2025-12-29,2025-12-29,1,477.88,258.04,219.84,0.460032,1,477.88,477.88
C0000217,Mid-Market,LATAM,email,2023-12-23,2025-02-06,412,9548.14,6197.51,3350.63,0.35092,16,596.76,23.18
C0000218,Startup,LATAM,email,2023-08-24,2023-08-24,1,21.21,13.45,7.76,0.365865,1,21.21,21.21
C0000221,Mid-Market,North America,email,2024-05-05,2024-05-05,1,63.31,30.25,33.06,0.522192,1,63.31,63.31
