experiment_id,customer_id,acquisition_channel,assignment,assigned_date,outcome_window_days,converted,pre_period_contribution,observed_contribution
EXP-PAID-SEARCH-2025H2,C0000002,paid_search,treatment,2025-07-19,90,True,307.15,609.59
EXP-PAID-SEARCH-2025H2,C0000004,paid_search,control,2025-07-24,90,True,204.27,254.66
EXP-PAID-SEARCH-2025H2,C0000007,paid_search,control,2025-07-26,90,False,320.61,0.0
EXP-PAID-SEARCH-2025H2,C0000010,paid_search,control,2025-07-03,90,True,64.96,40.73
EXP-PAID-SEARCH-2025H2,C0000029,paid_search,treatment,2025-07-03,90,False,157.24,0.0
EXP-PAID-SEARCH-2025H2,C0000040,paid_search,treatment,2025-07-08,90,True,156.27,209.71
EXP-PAID-SEARCH-2025H2,C0000041,paid_search,treatment,2025-07-06,90,False,94.83,0.0
EXP-PAID-SEARCH-2025H2,C0000046,paid_search,treatment,2025-07-21,90,False,99.83,0.0
EXP-PAID-SEARCH-2025H2,C0000059,paid_search,control,2025-07-04,90,False,222.94,0.0
EXP-PAID-SEARCH-2025H2,C0000065,paid_search,control,2025-07-28,90,False,224.34,0.0
EXP-PAID-SEARCH-2025H2,C0000071,paid_search,treatment,2025-07-06,90,False,93.93,0.0
EXP-PAID-SEARCH-2025H2,C0000076,paid_search,treatment,2025-07-18,90,False,222.56,0.0
EXP-PAID-SEARCH-2025H2,C0000084,paid_search,treatment,2025-07-11,90,False,136.14,0.0
EXP-PAID-SEARCH-2025H2,C0000085,paid_search,control,2025-07-10,90,False,620.05,0.0
EXP-PAID-SEARCH-2025H2,C0000086,paid_search,treatment,2025-07-13,90,True,51.64,79.16
EXP-PAID-SEARCH-2025H2,C0000093,paid_search,treatment,2025-07-02,90,False,65.15,0.0
EXP-PAID-SEARCH-2025H2,C0000094,paid_search,treatment,2025-07-18,90,False,96.4,0.0
EXP-PAID-SEARCH-2025H2,C0000095,paid_search,treatment,2025-07-07,90,False,85.9,0.0
EXP-PAID-SEARCH-2025H2,C0000107,paid_search,treatment,2025-07-03,90,True,101.56,64.29
EXP-PAID-SEARCH-2025H2,C0000127,paid_search,control,2025-07-21,90,True,74.61,52.7
EXP-PAID-SEARCH-2025H2,C0000135,paid_search,treatment,2025-07-17,90,False,414.95,0.0
EXP-PAID-SEARCH-2025H2,C0000145,paid_search,treatment,2025-07-16,90,False,442.66,0.0
EXP-PAID-SEARCH-2025H2,C0000147,paid_search,treatment,2025-07-02,90,True,212.9,219.13
EXP-PAID-SEARCH-2025H2,C0000150,paid_search,treatment,2025-07-10,90,False,255.68,0.0
EXP-PAID-SEARCH-2025H2,C0000169,paid_search,control,2025-07-21,90,False,315.42,0.0
EXP-PAID-SEARCH-2025H2,C0000180,paid_search,control,2025-07-09,90,True,224.52,122.4
EXP-PAID-SEARCH-2025H2,C0000182,paid_search,control,2025-07-10,90,False,65.14,0.0
EXP-PAID-SEARCH-2025H2,C0000209,paid_search,treatment,2025-07-12,90,True,65.15,89.85
EXP-PAID-SEARCH-2025H2,C0000220,paid_search,treatment,2025-07-01,90,False,51.41,0.0
EXP-PAID-SEARCH-2025H2,C0000225,paid_search,treatment,2025-07-13,90,False,163.46,0.0
EXP-PAID-SEARCH-2025H2,C0000231,paid_search,treatment,2025-07-21,90,True,76.22,56.02
EXP-PAID-SEARCH-2025H2,C0000235,paid_search,treatment,2025-07-07,90,False,111.92,0.0
EXP-PAID-SEARCH-2025H2,C0000244,paid_search,treatment,2025-07-16,90,False,140.78,0.0
EXP-PAID-SEARCH-2025H2,C0000265,paid_search,control,2025-07-22,90,False,109.09,0.0
EXP-PAID-SEARCH-2025H2,C0000271,paid_search,treatment,2025-07-09,90,False,64.25,0.0
EXP-PAID-SEARCH-2025H2,C0000276,paid_search,treatment,2025-07-20,90,False,47.38,0.0
EXP-PAID-SEARCH-2025H2,C0000294,paid_search,treatment,2025-07-09,90,True,131.44,82.39
EXP-PAID-SEARCH-2025H2,C0000295,paid_search,control,2025-07-27,90,False,843.5,0.0
EXP-PAID-SEARCH-2025H2,C0000300,paid_search,treatment,2025-07-01,90,True,69.44,53.14
EXP-PAID-SEARCH-2025H2,C0000315,paid_search,control,2025-07-28,90,False,99.97,0.0
EXP-PAID-SEARCH-2025H2,C0000320,paid_search,treatment,2025-07-11,90,True,59.19,38.3
EXP-PAID-SEARCH-2025H2,C0000323,paid_search,treatment,2025-07-03,90,True,403.75,345.06
EXP-PAID-SEARCH-2025H2,C0000329,paid_search,control,2025-07-06,90,False,72.81,0.0
EXP-PAID-SEARCH-2025H2,C0000332,paid_search,control,2025-07-15,90,False,233.35,0.0
EXP-PAID-SEARCH-2025H2,C0000341,paid_search,treatment,2025-07-05,90,True,228.46,356.89
EXP-PAID-SEARCH-2025H2,C0000344,paid_search,treatment,2025-07-21,90,True,127.07,77.94
EXP-PAID-SEARCH-2025H2,C0000360,paid_search,treatment,2025-07-11,90,False,44.14,0.0
EXP-PAID-SEARCH-2025H2,C0000376,paid_search,treatment,2025-07-13,90,False,102.93,0.0
EXP-PAID-SEARCH-2025H2,C0000378,paid_search,control,2025-07-22,90,False,93.42,0.0
EXP-PAID-SEARCH-2025H2,C0000380,paid_search,control,2025-07-17,90,False,216.89,0.0
EXP-PAID-SEARCH-2025H2,C0000389,paid_search,control,2025-07-26,90,False,316.53,0.0
EXP-PAID-SEARCH-2025H2,C0000394,paid_search,control,2025-07-18,90,False,277.89,0.0
EXP-PAID-SEARCH-2025H2,C0000408,paid_search,control,2025-07-21,90,False,104.38,0.0
EXP-PAID-SEARCH-2025H2,C0000413,paid_search,treatment,2025-07-08,90,False,564.31,0.0
EXP-PAID-SEARCH-2025H2,C0000421,paid_search,treatment,2025-07-11,90,False,336.3,0.0
EXP-PAID-SEARCH-2025H2,C0000422,paid_search,control,2025-07-25,90,True,68.93,54.25
EXP-PAID-SEARCH-2025H2,C0000432,paid_search,control,2025-07-07,90,False,154.37,0.0
EXP-PAID-SEARCH-2025H2,C0000440,paid_search,treatment,2025-07-15,90,False,108.07,0.0
EXP-PAID-SEARCH-2025H2,C0000449,paid_search,control,2025-07-13,90,False,178.27,0.0
EXP-PAID-SEARCH-2025H2,C0000456,paid_search,control,2025-07-02,90,False,298.59,0.0
EXP-PAID-SEARCH-2025H2,C0000457,paid_search,treatment,2025-07-07,90,True,287.86,271.25
