touchpoint_id,customer_id,touchpoint_date,acquisition_channel,touchpoint_order,is_conversion_touch
TP000017428,C0000001,2025-07-17,partners,1,True
TP000010040,C0000002,2024-09-01,organic,1,False
TP000010041,C0000002,2024-10-15,paid_search,2,True
TP000019349,C0000003,2025-09-17,referral,1,True
TP000015795,C0000004,2025-05-20,paid_search,1,True
TP000002061,C0000005,2023-05-27,referral,1,False
TP000002062,C0000005,2023-06-04,organic,2,False
TP000002063,C0000005,2023-06-22,paid_search,3,True
TP000021908,C0000006,2025-10-28,organic,1,False
TP000021909,C0000006,2025-10-29,email,2,False
TP000021910,C0000006,2025-12-12,organic,3,True
TP000017167,C0000007,2025-06-14,social_ads,1,False
TP000017168,C0000007,2025-07-06,paid_search,2,True
TP000017688,C0000008,2025-07-04,email,1,False
TP000017689,C0000008,2025-07-07,partners,2,False
TP000017690,C0000008,2025-07-08,email,3,False
TP000017691,C0000008,2025-07-23,referral,4,True
TP000002788,C0000009,2023-08-25,organic,1,True
TP000010277,C0000010,2024-10-07,partners,1,False
TP000010278,C0000010,2024-10-28,paid_search,2,True
TP000008441,C0000011,2024-07-19,social_ads,1,True
TP000020816,C0000012,2025-09-25,email,1,False
TP000020817,C0000012,2025-11-14,organic,2,True
TP000014585,C0000013,2025-02-16,referral,1,False
TP000014586,C0000013,2025-02-26,social_ads,2,False
TP000014587,C0000013,2025-03-28,organic,3,False
TP000014588,C0000013,2025-04-16,partners,4,True
TP000018538,C0000014,2025-06-28,referral,1,False
TP000018539,C0000014,2025-08-22,social_ads,2,True
TP000010110,C0000015,2024-09-03,paid_search,1,False
TP000010111,C0000015,2024-09-24,social_ads,2,False
TP000010112,C0000015,2024-09-30,organic,3,False
TP000010113,C0000015,2024-10-15,email,4,True
TP000005154,C0000016,2024-01-21,organic,1,False
TP000005155,C0000016,2024-02-04,organic,2,True
TP000012569,C0000017,2025-01-16,referral,1,False
TP000012570,C0000017,2025-02-03,referral,2,True
TP000001486,C0000018,2023-04-08,partners,1,False
TP000001487,C0000018,2023-04-29,social_ads,2,True
TP000018672,C0000019,2025-07-25,partners,1,False
TP000018673,C0000019,2025-08-06,email,2,False
TP000018674,C0000019,2025-08-26,organic,3,True
TP000014281,C0000020,2025-02-14,referral,1,False
TP000014282,C0000020,2025-03-15,paid_search,2,False
TP000014283,C0000020,2025-03-19,paid_search,3,False
TP000014284,C0000020,2025-04-07,organic,4,True
TP000017105,C0000021,2025-05-18,organic,1,False
TP000017106,C0000021,2025-06-14,paid_search,2,False
TP000017107,C0000021,2025-06-25,paid_search,3,False
TP000017108,C0000021,2025-07-02,social_ads,4,True
TP000008075,C0000022,2024-05-15,email,1,False
TP000008076,C0000022,2024-06-25,partners,2,False
TP000008077,C0000022,2024-06-25,organic,3,False
TP000008078,C0000022,2024-06-27,email,4,True
TP000021794,C0000023,2025-12-12,partners,1,True
TP000020065,C0000024,2025-10-19,referral,1,True
TP000017529,C0000025,2025-07-18,organic,1,True
TP000004370,C0000026,2023-10-28,referral,1,False
TP000004371,C0000026,2023-11-09,organic,2,False
TP000004372,C0000026,2023-11-11,organic,3,False
TP000004373,C0000026,2023-12-19,referral,4,True
TP000010630,C0000027,2024-10-01,email,1,False
TP000010631,C0000027,2024-11-16,organic,2,True
TP000001041,C0000028,2023-03-24,organic,1,True
TP000003381,C0000029,2023-08-31,email,1,False
TP000003382,C0000029,2023-09-17,email,2,False
TP000003383,C0000029,2023-09-22,referral,3,False
TP000003384,C0000029,2023-10-19,paid_search,4,True
TP000015456,C0000030,2025-05-12,paid_search,1,True
TP000016787,C0000031,2025-06-26,social_ads,1,True
TP000021721,C0000032,2025-10-19,paid_search,1,False
TP000021722,C0000032,2025-10-31,organic,2,False
TP000021723,C0000032,2025-11-08,referral,3,False
TP000021724,C0000032,2025-12-04,partners,4,True
TP000007432,C0000033,2024-04-11,email,1,False
TP000007433,C0000033,2024-05-08,paid_search,2,False
TP000007434,C0000033,2024-05-13,email,3,False
TP000007435,C0000033,2024-05-28,social_ads,4,True
TP000008430,C0000034,2024-05-30,organic,1,False
TP000008431,C0000034,2024-07-21,partners,2,True
TP000010688,C0000035,2024-10-05,organic,1,False
TP000010689,C0000035,2024-11-18,social_ads,2,True
TP000004269,C0000036,2023-12-18,social_ads,1,True
TP000002828,C0000037,2023-07-05,referral,1,False
TP000002829,C0000037,2023-08-27,partners,2,True
TP000010816,C0000038,2024-11-19,referral,1,True
TP000005147,C0000039,2023-12-21,social_ads,1,False
TP000005148,C0000039,2023-12-29,referral,2,False
TP000005149,C0000039,2024-01-11,organic,3,False
TP000005150,C0000039,2024-02-04,social_ads,4,True
TP000015186,C0000040,2025-03-06,paid_search,1,False
TP000015187,C0000040,2025-04-27,paid_search,2,True
TP000009962,C0000041,2024-08-21,social_ads,1,False
TP000009963,C0000041,2024-08-22,social_ads,2,False
TP000009964,C0000041,2024-09-13,email,3,False
TP000009965,C0000041,2024-10-07,paid_search,4,True
TP000018753,C0000042,2025-07-21,paid_search,1,False
TP000018754,C0000042,2025-08-29,paid_search,2,True
TP000015844,C0000043,2025-04-05,paid_search,1,False
TP000015845,C0000043,2025-05-06,organic,2,False
TP000015846,C0000043,2025-05-13,social_ads,3,False
TP000015847,C0000043,2025-05-26,social_ads,4,True
TP000007129,C0000044,2024-04-07,social_ads,1,False
TP000007130,C0000044,2024-04-07,organic,2,False
TP000007131,C0000044,2024-05-08,organic,3,False
TP000007132,C0000044,2024-05-17,referral,4,True
TP000018763,C0000045,2025-08-27,social_ads,1,True
TP000018147,C0000046,2025-08-06,paid_search,1,True
TP000008803,C0000047,2024-07-03,referral,1,False
TP000008804,C0000047,2024-07-28,referral,2,False
TP000008805,C0000047,2024-08-07,social_ads,3,True
TP000006603,C0000048,2024-04-19,social_ads,1,True
TP000015433,C0000049,2025-03-26,paid_search,1,False
TP000015434,C0000049,2025-05-06,email,2,True
TP000003037,C0000050,2023-09-17,social_ads,1,True
TP000004513,C0000051,2023-12-30,paid_search,1,True
TP000000213,C0000052,2022-11-30,paid_search,1,False
TP000000214,C0000052,2022-12-19,referral,2,False
TP000000215,C0000052,2022-12-24,email,3,False
TP000000216,C0000052,2023-01-13,referral,4,True
TP000017727,C0000053,2025-05-31,paid_search,1,False
TP000017728,C0000053,2025-07-01,social_ads,2,False
TP000017729,C0000053,2025-07-29,partners,3,True
TP000015065,C0000054,2025-03-11,social_ads,1,False
TP000015066,C0000054,2025-03-22,social_ads,2,False
TP000015067,C0000054,2025-04-13,paid_search,3,False
TP000015068,C0000054,2025-04-28,organic,4,True
TP000015943,C0000055,2025-04-01,email,1,False
TP000015944,C0000055,2025-05-23,organic,2,True
TP000017594,C0000056,2025-06-08,referral,1,False
TP000017595,C0000056,2025-06-11,paid_search,2,False
TP000017596,C0000056,2025-06-28,email,3,False
TP000017597,C0000056,2025-07-24,partners,4,True
TP000010450,C0000057,2024-11-04,referral,1,True
TP000012900,C0000058,2025-02-18,email,1,True
TP000003034,C0000059,2023-09-20,paid_search,1,True
TP000002488,C0000060,2023-06-09,referral,1,False
TP000002489,C0000060,2023-07-13,social_ads,2,False
TP000002490,C0000060,2023-08-02,organic,3,True
TP000015146,C0000061,2025-03-13,social_ads,1,False
TP000015147,C0000061,2025-04-14,organic,2,False
TP000015148,C0000061,2025-04-26,partners,3,True
TP000010703,C0000062,2024-09-23,partners,1,False
TP000010704,C0000062,2024-11-14,partners,2,True
TP000012815,C0000063,2025-01-07,paid_search,1,False
TP000012816,C0000063,2025-02-03,paid_search,2,False
TP000012817,C0000063,2025-02-04,social_ads,3,False
TP000012818,C0000063,2025-02-16,social_ads,4,True
TP000017247,C0000064,2025-05-14,social_ads,1,False
TP000017248,C0000064,2025-07-11,organic,2,True
