intervention_id,week_start,product_type,region,assignment,reference_price,observed_price,units_sold,revenue,contribution_margin
PI0000001,2024-01-01,Core,North America,price_down_10,165.0,148.5,269,39946.5,21571.11
PI0000002,2024-01-01,Core,EMEA,price_up_10,165.0,181.5,230,41745.0,22542.3
PI0000003,2024-01-01,Core,LATAM,price_down_10,165.0,148.5,152,22572.0,12188.88
PI0000004,2024-01-01,Core,APAC,price_up_10,165.0,181.5,141,25591.5,13819.41
PI0000005,2024-01-01,Add-on,North America,price_down_10,92.0,82.8,215,17802.0,10681.2
PI0000006,2024-01-01,Add-on,EMEA,control,92.0,92.0,186,17112.0,10267.2
PI0000007,2024-01-01,Add-on,LATAM,control,92.0,92.0,78,7176.0,4305.6
PI0000008,2024-01-01,Add-on,APAC,price_up_10,92.0,101.2,118,11941.6,7164.96
PI0000009,2024-01-01,Premium,North America,control,305.0,305.0,130,39650.0,15067.0
PI0000010,2024-01-01,Premium,EMEA,price_up_10,305.0,335.5,90,30195.0,11474.1
PI0000011,2024-01-01,Premium,LATAM,control,305.0,305.0,54,16470.0,6258.6
PI0000012,2024-01-01,Premium,APAC,price_down_10,305.0,274.5,59,16195.5,6154.29
PI0000013,2024-01-01,Services,North America,price_down_10,388.0,349.2,64,22348.8,6928.13
PI0000014,2024-01-01,Services,EMEA,control,388.0,388.0,53,20564.0,6374.84
PI0000015,2024-01-01,Services,LATAM,price_down_10,388.0,349.2,32,11174.4,3464.06
PI0000016,2024-01-01,Services,APAC,price_down_10,388.0,349.2,47,16412.4,5087.84
PI0000017,2024-01-08,Core,North America,price_down_10,165.0,148.5,277,41134.5,22212.63
PI0000018,2024-01-08,Core,EMEA,price_up_10,165.0,181.5,206,37389.0,20190.06
PI0000019,2024-01-08,Core,LATAM,price_up_10,165.0,181.5,126,22869.0,12349.26
PI0000020,2024-01-08,Core,APAC,price_down_10,165.0,148.5,227,33709.5,18203.13
PI0000021,2024-01-08,Add-on,North America,control,92.0,92.0,186,17112.0,10267.2
PI0000022,2024-01-08,Add-on,EMEA,price_down_10,92.0,82.8,184,15235.2,9141.12
PI0000023,2024-01-08,Add-on,LATAM,price_up_10,92.0,101.2,69,6982.8,4189.68
PI0000024,2024-01-08,Add-on,APAC,price_down_10,92.0,82.8,162,13413.6,8048.16
PI0000025,2024-01-08,Premium,North America,control,305.0,305.0,91,27755.0,10546.9
PI0000026,2024-01-08,Premium,EMEA,price_down_10,305.0,274.5,89,24430.5,9283.59
PI0000027,2024-01-08,Premium,LATAM,price_down_10,305.0,274.5,48,13176.0,5006.88
