months_since_cohort,median_month_0_activation_rate,median_signup_activity_rate,median_retained_from_month_0_rate,median_revenue_retention,cohorts_observed,revenue_expansion_share_m6
0,0.521554,0.521554,1.0,1.0,36,
1,0.521368,0.502632,0.52381,0.915593,35,
2,0.521554,0.45358,0.478167,0.813986,34,
3,0.521739,0.432584,0.454976,0.884024,33,
4,0.524954,0.387223,0.389716,0.755473,32,
5,0.528169,0.367857,0.373134,0.675874,31,
6,0.524954,0.344898,0.359579,0.682916,30,0.166667
7,0.528169,0.307229,0.319588,0.559886,29,
8,0.52861,0.29465,0.304026,0.637567,28,
9,0.528169,0.273109,0.288889,0.553476,27,
10,0.524954,0.25,0.268418,0.510687,26,
11,0.521739,0.224576,0.239437,0.476297,25,
12,0.524954,0.220514,0.240806,0.496101,24,
13,0.521739,0.21134,0.231343,0.426931,23,
14,0.524954,0.191238,0.193501,0.44477,22,
15,0.521739,0.174797,0.17037,0.370758,21,
16,0.524954,0.16762,0.168334,0.349302,20,
17,0.528169,0.156863,0.155556,0.344721,19,
18,0.524954,0.155354,0.170366,0.339351,18,
19,0.528169,0.142857,0.155556,0.348888,17,
20,0.524954,0.139078,0.125656,0.261576,16,
21,0.528169,0.127451,0.128205,0.290258,15,
22,0.523247,0.115796,0.117334,0.224326,14,
23,0.528169,0.118012,0.117647,0.231093,13,
24,0.523247,0.103312,0.094356,0.218488,12,
25,0.528169,0.095238,0.095238,0.208657,11,
26,0.511178,0.094505,0.091538,0.26519,10,
27,0.528169,0.088,0.089552,0.203714,9,
28,0.5107,0.07871,0.089872,0.243723,8,
29,0.489655,0.093168,0.087719,0.219538,7,
30,0.5107,0.064747,0.068996,0.108496,6,
31,0.489655,0.072,0.098592,0.18845,5,
32,0.504583,0.075714,0.092074,0.15883,4,
33,0.531746,0.079365,0.104478,0.111824,3,
34,0.493873,0.04781,0.047394,0.073027,2,
35,0.531746,0.063492,0.119403,0.230677,1,
